id,nombre,horasTrabajadas,sueldo
1,Lou,120,10000.00
2,Ulrike,180,25000.00
3,Brade,325,20000.00
4,Kimbell,120,50000.00
5,Sheelagh,220,18000.00
6,Gayle,120,30000.00
7,Kimberlee,60,33000.00
8,Henrieta,90,30000.00
9,Jeanine,325,18000.00
10,Diego,75,15000.00
11,Brandea,180,15000.00
12,Cordelie,325,50000.00
13,Shel,120,50000.00
14,Bronnie,60,20000.00
15,Megen,180,10000.00
16,Iver,90,12000.00
17,Ernesta,60,37000.00
18,Cirillo,88,50000.00
19,Park,120,30000.00
20,Bellanca,88,15000.00
21,Bobbye,180,15000.00
22,Eugene,88,50000.00
23,Johnny,325,33000.00
24,Reagen,90,42000.00
25,Braden,180,25000.00
26,Julian,200,23456.78
